gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000112176;605,5649777;2,279455044;0,356032529;37,85680498;7,61E-10;9,83E-09;BX537120,2
ENSDARG00000006392;1305,002559;-0,784693589;0,126897837;37,85300976;7,63E-10;9,84E-09;exosc9
ENSDARG00000059046;4823,925641;0,873042861;0,141301644;37,85156479;7,63E-10;9,85E-09;psmd5
ENSDARG00000027345;391,2771766;-0,983252185;0,159334479;37,80628671;7,81E-10;1,01E-08;mpzl2b
ENSDARG00000043904;3208,723476;1,797272952;0,277563389;37,78983604;7,88E-10;1,01E-08;pnrc1
ENSDARG00000097726;38,27322123;-3,314489905;0,546344999;37,78955329;7,88E-10;1,01E-08;si:ch211-149e23,4
ENSDARG00000070798;705,4740043;0,863292808;0,139802584;37,76969226;7,96E-10;1,02E-08;pmvk
ENSDARG00000006109;1338,40685;2,409760454;0,369824535;37,74531422;8,06E-10;1,04E-08;pimr185
ENSDARG00000092337;2613,275164;-1,387778066;0,221411599;37,72934212;8,13E-10;1,04E-08;CU467861,6
ENSDARG00000097877;2510,201562;0,680881174;0,110375183;37,72433942;8,15E-10;1,05E-08;si:ch211-167b20,8
ENSDARG00000078014;3703,432364;0,922961069;0,148019214;37,72243249;8,16E-10;1,05E-08;pacsin2
ENSDARG00000012505;4757,371722;-0,624717275;0,101518184;37,69961702;8,25E-10;1,06E-08;u2af2a
ENSDARG00000008832;564,8584296;1,139741806;0,184515435;37,68274045;8,32E-10;1,07E-08;neu1
ENSDARG00000013024;1321,735096;0,779045137;0,126429137;37,68032187;8,33E-10;1,07E-08;erap1a
ENSDARG00000040492;3672,345093;-1,027455759;0,166367782;37,66262064;8,41E-10;1,08E-08;mthfd1b
ENSDARG00000017661;544,662752;-1,046308532;0,169841462;37,63210889;8,54E-10;1,09E-08;braf
ENSDARG00000041609;567,446119;1,017865933;0,165222486;37,58698198;8,74E-10;1,12E-08;adarb1a
ENSDARG00000045574;8786,778237;0,876172989;0,141695383;37,56672099;8,83E-10;1,13E-08;lrmp
ENSDARG00000061713;15655,96292;1,046450623;0,169247553;37,5607954;8,86E-10;1,13E-08;tpd52
ENSDARG00000097819;1213,168021;-0,742161359;0,120514505;37,54090017;8,95E-10;1,14E-08;znf576,1
ENSDARG00000044298;6153,522758;-0,748002456;0,121748825;37,53896277;8,96E-10;1,14E-08;phax
ENSDARG00000116052;2180,866696;1,19435258;0,189425438;37,53055836;9,00E-10;1,15E-08;il4r,2
ENSDARG00000058508;8875,040323;1,091560388;0,176726536;37,52007544;9,05E-10;1,15E-08;cfap70
ENSDARG00000040559;11395,66456;0,955514025;0,155145054;37,51551033;9,07E-10;1,16E-08;rad1
ENSDARG00000113474;829,2560358;1,153406917;0,18556671;37,50888311;9,10E-10;1,16E-08;CABZ01067151,1
ENSDARG00000098296;340,0577879;-1,116642658;0,181028038;37,50144421;9,13E-10;1,16E-08;gnsb
ENSDARG00000101056;349,1176224;1,342986043;0,214685805;37,44647934;9,40E-10;1,20E-08;BX890539,1
ENSDARG00000036791;1383,874366;-1,148016591;0,186135759;37,44207351;9,42E-10;1,20E-08;dnmt3bb,1
ENSDARG00000077749;142,3371172;-1,550675129;0,251575627;37,43275277;9,46E-10;1,20E-08;usp54b
ENSDARG00000086786;1312,334137;0,853146398;0,138758887;37,42406198;9,50E-10;1,21E-08;mfsd10
ENSDARG00000025670;303,2924507;1,144368799;0,186093161;37,38996091;9,67E-10;1,23E-08;fstl3
ENSDARG00000104936;484,757466;0,957295485;0,155726462;37,37629191;9,74E-10;1,24E-08;si:ch211-225h24,2
