gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000103516;2627,995478;0,16008192;0,24479604;0,431765661;0,511123835;0,84612279;sec24c
ENSDARG00000103840;1307,427167;-0,231160506;0,365147299;0,432780034;0,510627971;0,84612279;lrrc8db
ENSDARG00000104568;166,7509919;-0,312187367;0,496705145;0,433598487;0,510228488;0,84612279;BX571715,1
ENSDARG00000104773;383,519933;-0,45241541;0,674136461;0,432331679;0,510847041;0,84612279;junbb
ENSDARG00000111342;33,34248433;-0,400965255;0,613454135;0,432114881;0,510953029;0,84612279;LO018238,1
ENSDARG00000112034;179,2360281;-0,230363121;0,359237504;0,433997054;0,510034144;0,84612279;LO017711,1
ENSDARG00000112749;27,72579037;0,588665854;0,85563973;0,434575808;0,509752168;0,84612279;FP015810,1
ENSDARG00000113016;67,71149775;0,425506033;0,648806439;0,434334251;0,509869825;0,84612279;CU207245,1
ENSDARG00000114558;32,50355011;0,388700833;0,580102021;0,429832635;0,512071083;0,84612279;si:dkey-233e3,3
ENSDARG00000117289;16,17960234;0,656767903;1,007676763;0,429808943;0,512082712;0,84612279;FP236542,2
ENSDARG00000058593;1600,803182;0,194090426;0,289672122;0,428873187;0,512542377;0,846297496;sri
ENSDARG00000061916;657,1106654;0,230578024;0,347399296;0,429030809;0,512464899;0,846297496;tmem51b
ENSDARG00000067912;228,2393142;-0,701030977;1,178376447;0,428904422;0,512527022;0,846297496;MAN1C1
ENSDARG00000077440;300,917867;-0,421642303;0,682426728;0,429097889;0,512431933;0,846297496;SYDE1
ENSDARG00000096478;58,54059105;-0,450493348;0,703638223;0,428912967;0,512522822;0,846297496;BX901907,2
ENSDARG00000099039;4218,281423;0,141618184;0,216313165;0,429143375;0,512409581;0,846297496;pcbp2
ENSDARG00000102684;1039,088821;0,160822524;0,243838945;0,429008563;0,512475833;0,846297496;lrrc1
ENSDARG00000002947;751,2441971;0,181111426;0,27539755;0,428584498;0,512684332;0,84647335;abcd3b
ENSDARG00000100757;203,2492206;0,414534947;0,611904842;0,428472882;0,512739234;0,84650546;BNC1
ENSDARG00000002792;1155,378645;-0,180529458;0,280175612;0,428362878;0,512793354;0,846536274;arcn1a
ENSDARG00000042293;25,88509488;0,480212887;0,694960467;0,428255574;0,512846155;0,846564906;ca4b
ENSDARG00000061100;6727,172077;-0,287069549;0,447894485;0,427934958;0,513003977;0,846708347;nars1
ENSDARG00000105089;45,45733483;0,509172088;0,762347444;0,428005483;0,512969254;0,846708347;ccl39,6
ENSDARG00000004282;810,783258;-0,440418461;0,706156497;0,426221574;0,513848813;0,846792132;zgc:77375
ENSDARG00000005754;5637,622424;-0,209527149;0,32960362;0,426683418;0,513620848;0,846792132;ptprfb
ENSDARG00000007671;6424,93591;0,245837362;0,382623829;0,424577203;0,5146619;0,846792132;ghrb
ENSDARG00000015176;329,1027902;-0,287883729;0,450467985;0,424653048;0,514624348;0,846792132;ror1
ENSDARG00000019239;3838,49144;0,147707836;0,224050258;0,426818201;0,513554353;0,846792132;cul1a
ENSDARG00000020261;3101,982449;0,150680116;0,229491756;0,425908077;0,514003654;0,846792132;rab2a
ENSDARG00000022550;344,1554605;0,196405292;0,294482303;0,425966623;0,513974731;0,846792132;gxylt1b
ENSDARG00000027978;3907,609955;0,143188847;0,217886667;0,424469467;0,51471525;0,846792132;yy1b
ENSDARG00000034808;43,74869386;-0,637852298;0,928178264;0,425552025;0,514179612;0,846792132;kcnip1b
ENSDARG00000037398;160,5432903;-0,282594721;0,427885229;0,425223396;0,514342112;0,846792132;zgc:113229
ENSDARG00000040252;47,30707397;0,499906963;0,720528004;0,425167811;0,514369606;0,846792132;atp1a1a,5
